"id","culture","culture_code","region","location","description","probability_sample","position","comment","created","modified","created_by_id"
1,"Akan","FE12","West Africa","Ghana and Cote d'Ivoire","The Akan are peoples living between the Volta river and the Atlantic coast in southern and central Ghana and in southeastern Cote d'Ivoire. They include a large number of ethnic groups, the most well-known of which are the Ashanti (Asante) and the Fanti (Fante). The Akan share a common language, known as Twi. Twi belongs to the Akan branch of the Kwa subfamily of the Niger-Congo family of languages. The Akan peoples have a long and well documented history. Akan subsistence is based on agriculture, the form of which varies depending on the local ecosystem. Akan peoples live in towns and villages in the forest. In 1995 the Akan represented 44 percent of the population of Ghana, numbering about 7,000,000 Akan. There were 4,300,000 Fanti and 1,170,000 Ashanti.",1,"8.0,-2.0","Language: Kwa branch Niger-Congo family","2013-07-08 13:33:03.775815","2013-07-08 13:33:03.778988",1
2,"Azande","FO07","Central Africa","Sudan, CAR, Democratic Republic of the Congo","The Azande are a large group, living in Sudan and the Central African Republic as well as in the Democratic Republic of the Congo. The Azande constitute a conglomeration of originally distinct ethnic groups that became culturally, politically, and linguistically united through conquest.",1,"4.5,21.0","","2013-07-08 13:33:04.050008","2013-07-08 13:33:04.051531",1
3,"Bagisu","FK13","East Africa","Mount Elgon in eastern Uganda.","The Bagisu or Gisu live on the western slopes of the now extinct volcano Mount Elgon in eastern Uganda. Lugisu (Masaba), the language of the Bagisu, is a Bantu language in the larger Niger-Congo group of languages. The economy is based on sedentary agriculture, with some raising of cattle, goats, and sheep. In pre-colonial days (prior to 1900) settlements were built high on the mountainside for defensive purposes. With the pacification of the region, settlements have spread into the valleys and plains. Traditional territorial units ranged from the neighborhood, to the village, the village cluster, and the district. The twentieth century socio-political unit is the parish.",0,"1.0,34.5","","2013-07-08 13:33:04.096433","2013-07-08 13:33:04.098032",1
4,"Banyoro","FK11","East Africa","Uganda","The Banyoro live largely in western Uganda, east of Lake Mobutu. Bunyoro is one of the administrative regions that make up Uganda. Runyoro, the language of the Banyoro, belongs to the Central Bantu division of the Bantu language family. The Banyoro had a powerful kingdom for many centuries; its influence waned in the eighteenth and nineteenth centuries under pressure from other kingdoms. All Ugandan kingdoms were abolished after Ugandan independence from British rule, but they were restored in 1993. The Banyoro are largely sedentary agriculturalists.",0,"1.7,31.0","","2013-07-08 13:33:04.156239","2013-07-08 13:33:04.157807",1
5,"Bena","FN31","East Africa","Tanzania","The Bena are agriculturalists who live in two different ecozones in Tanzania. One is a high plateau where a large majority of the Bena live and the other is a plain, occupied by a small minority. The Bena speak a Southern Bantu language of the Niger-Congo language family. In pre-colonial times the Bena were organized into villages which were largely autonomous and warring (2: Swartz (1968)). They were conquered by the Hehe and, in the late nineteenth century, became subject to German colonists.",0,"-9.25,35.0","","2013-07-08 13:33:04.250374","2013-07-08 13:33:04.251929",1
6,"Dogon","FA16","West Africa","Mali, Burkina Faso","The Dogon are a group of about 600,000 people who live primarily in the districts of Bandiagara and Douentza in the western African nation of Mali. Some Dogon reside in Burkina Faso. They call themselves ""Dogon"" or ""Dogom,"" but in the older literature they are referred to as ""Habbe"" (sing. Kado), a Fulbe word meaning ""stranger"" or ""pagan."" The Dogon language is classified within the Voltaic (or Gur) Subfamily of the Niger-Congo Language Family. The population is concentrated in some 300 villages along a 145-kilometer stretch of escarpment called the Cliffs of Bandiagara. Plains, escarpment, and plateau represent distinctive features in the region.",1,"14.0,-3.0","Language: Mande and Gur branches of the Niger-Congo family","2013-07-08 13:33:04.326231","2013-07-08 13:33:04.328016",1
7,"Ganda","FK07","East Africa","Uganda","The Ganda, who refer to themselves as ""Baganda"" (sing. MUGANDA), are people of mixed origins, whose ancestors migrated to their present location between the thirteenth and sixteenth centuries. Historically, they were known as a warlike people who conquered many of their neighbors and, at the time of European contact, were a dominant power in the region. Buganda was one of the Lacustrine kingdoms along with Bunyoro, Toro, Ankole, and Kiziba. Today Buganda is one of four provinces in the state of Uganda and is located on the northern and western shores of Lake Victoria.",1,"0.5,33.0","","2013-07-08 13:33:04.356518","2013-07-08 13:33:04.358037",1
8,"Hausa","MS12","West Africa","Nigeria and Niger","The Hausa constitute the largest ethnic group in West Africa. The term ""Hausa"" actually refers to the language and, by extension, to its native speakers, of whom there are about 25 million. The Hausa are scattered across the savanna of northern Nigeria, the adjacent area of Niger, and, as a result of extensive migration, in enclaves in various African cities as far south as the Atlantic coast. The focal homeland covers an area about 640 kilometers wide, from Lake Chad to the east to the Niger River in the west.",1,"12.5,8.0","Language: Chadic group Afro-Asiatic family","2013-07-08 13:33:04.445590","2013-07-08 13:33:04.447069",1
9,"Igbo","FF26","West Africa","Nigeria","Igbo is the language spoken in Ala Igbo or Ani Igbo (Igboland) by the people who are collectively referred to as ""Ndi Igbo""; their community is known as ""Olu no Igbo"" (""those in the lowlands and uplands""). Before European colonialism, the Igbo-speaking peoples, who shared similarities in culture, lived in localized communities and were not unified under a single cultural identity or political framework, although unifying processes were present via expansion, ritual subordination, intermarriage, trade, cultural exchange, migration, war, and conquest. Villages and village groups were generally identified by distinct names of their ancestral founders or by specific names such as Umuleri, Nri, Ogidi, Nnobi, Orlu, Ngwa, Ezza, and Ohaffia.

Today Igbo-speaking individuals live all over Nigeria and in diverse countries of the world. As a people, however, the Igbo are located on both sides of the River Niger and occupy most of southeastern Nigeria. The area, measuring over 41,000 square kilometers, includes the old provinces of Onitsha, Owerri, East Rivers, Southeast Benin, West Ogoja, and Northeast Warri. In contemporary Nigerian history, the Igbo have claimed all these areas as the protectorate of the ""Niger Districts."" Thus began the process of wider unification and incorporation into wider political and administrative units. Presently, they constitute the entire Enugu State, Anambra State, Abia State, Imo State, and the Ahoada area of Rivers State; Igbo-speaking people west of the Niger are inhabitants of the Asaba, Ika, and Agbo areas of Delta State.",0,"6.0,7.0","Language: Igbo is a Benue-Congo branch Niger-Congo","2013-07-08 13:33:04.468615","2013-07-08 13:33:04.470307",1
10,"Kanuri","MS14","West Africa","Nigeria","The Kanuri are the fifth largest ethnic group in Nigeria and the dominant ethnic group in Borno State located in northeastern Nigeria. They are also found in all of the major cities of northern Nigeria and in the neighboring sections of Chad and Niger. The southwestern section of the Republic of Niger is predominantly Kanuri.

Although there are semi-legendary views about early Kanuri roots in Yemen, little is known of the earliest phases of Kanuri culture. Contemporary Kanuri are the descendants of the ruling Saifawa family of the Kanem Empire (846-1893) which at its peak in 1300 rivaled the Mali kingdom in the west. They converted to Islam in 1087. As a result of civil war, this family left Kanem in the fourteenth century and, after nearly a century of internal strife, established a new empire southwest of Lake Chad.",1,"12.0,12.0","Language: Saharan branch Nilo-Saharan family","2013-07-08 13:33:04.703247","2013-07-08 13:33:04.704936",1
11,"Libyan Bedouin","MT09","North Africa","Libya and Egypt","The Libyan Bedouin are Arab people of tribal and nomadic pastoralist backgrounds who have ties to the Libyan Desert. This desert comprises the western part of the Arab Republic of Egypt, where it is known as the Western Desert, and the eastern part of the Socialist People's Libyan Arab Great Jamahiriya. The inland areas of this vast territory--itself a part of the Great Sahara--are hyper-arid and contain only a few settlements inhabited by mainly non-Bedouin oasis dwellers. The Libyan Bedouin are especially associated with the desert's northern steppe plateau, the highland area of Libya's Jabal al-Akhdar, and the semiarid Mediterranean coast between Alexandria in Egypt and Banghazi in Libya.",1,"26.0,24.0","","2013-07-08 13:33:04.728777","2013-07-08 13:33:04.730596",1
12,"Lozi","FQ09","Southern Africa","Zambia","The Lozi consist of a number of interrelated ethnic groups located along the Zambezi River in Barotse Province of western Zambia. As used here, the term Lozi refers both to the Lozi proper and to those groups that have become subject to and assimilated by the Lozi. Luyi history is characterized by a series of expansionary conquests and the absorption of numerous other peoples under their rule.",1,"-15.0,23.0","Lozi sub-group of Ila","2013-07-08 13:33:04.757478","2013-07-08 13:33:04.759024",1
13,"Mbuti","FO04","Central Africa","Democratic Republic of the Congo","All of the Pygmies of the Ituri Forest recognize themselves by the term Mbuti, and are affiliated through trade relationships with one or more groups of village-living horticulturalists. Each Pygmy group speaks a dialect of the language of whichever group of horticulturalists they are associated with in trade. The Mbuti as a whole are clearly distinct from these village neighbors both racially and culturally, and, Turnbull says, the economic differences between the Mbuti groups mask a basic ""structural unity""",1,"1.5,28.0","","2013-07-08 13:33:04.808486","2013-07-08 13:33:04.810245",1
14,"Nuer","FJ22","Central Africa","Sudan","The Nuer live in the southern Sudan. Their country is divided by the Nile River into western and eastern regions. The Nuer language is in the Nilotic branch of the Nilo-Saharan language family. Most of Nuerland consists of open savanna and subsistence is based on raising cattle. The settlement pattern includes living in villages on high ground during the rainy season and cattle camps during the dry season. Districts consist of several camps in communication with each other.",0,"8.0,30.0","","2013-07-08 13:33:04.835292","2013-07-08 13:33:04.836845",1
15,"Ovimbundu","FP13","Southern Africa","Angola","",0,"-12.5,13.0","","2013-07-08 13:33:04.872918","2013-07-08 13:33:04.874531",1
16,"Shluh","MW11","North Africa","Morocco","",1,"30.5,-8.0","","2013-07-08 13:33:05.009962","2013-07-08 13:33:05.011502",1
17,"Tiv","FF57","West Africa","Nigeria","",1,"7.0,9.0","Benue-Congo branch of Niger-Congo","2013-07-08 13:33:05.071342","2013-07-08 13:33:05.072953",1
18,"Wolof","MS30","West Africa","Gambia","",1,"14.5,-14.5","Language: Atlantic branch of Niger-Congo family","2013-07-08 13:33:05.117609","2013-07-08 13:33:05.119313",1
19,"Alorese","OF05","Southeast Asia","Indonesia","Alor is noted as an area of tremendous cultural and linguistic diversity, possibly owing to its rugged terrain. Estimates as to the number of ethnolinguistic groups on the island vary greatly. Brouwer (1935) delineated seven primary physical-linguistic divisions on the island. Local officials distinguish thirteen ""tribes"" (Enga 1988), and Alorese informants speak of between forty-eight and sixty different languages on the island (Adams 1989).",0,"-8.0,125.4","","2013-07-08 13:33:05.144941","2013-07-08 13:33:05.146422",1
20,"Andamans","AZ02","South Asia","Bay of Bengal","The Andamanese are the indigenous tribes of Negrito hunters and gatherers of the Andaman Islands.",1,"12.0,92.5","","2013-07-08 13:33:05.178840","2013-07-08 13:33:05.180288",1
21,"Bengali","AW69","South Asia","Bengal region of the Indian Subcontinent","The Bengali people speak the Bengali (BANGLA) language, live in the Bengal region of the Indian Subcontinent, located in northeastern South Asia, and most follow either the Hindu or the Muslim faith. The Bengal region is divided politically between the nation of Bangladesh and the Indian state of West Bengal. Bengalis themselves call their region by the name of BANGLA DESH, meaning simply ""the Bengali homeland,"" a term adopted by the people of eastern Bengal when they won sovereign independence for the state of Bangladesh in 1971.",0,"23.5,89.5","","2013-07-08 13:33:05.195152","2013-07-08 13:33:05.196739",1
22,"Central Thai","AO07","Southeast Asia","Central and southern Thailand","The Central Thai speak the Central Thai (Tai-Shan) dialect, live in central and southern Thailand, and are predominantly of the Buddhist faith. The Thai name for their country is ""M'ang Thai,"" meaning ""the free country,"" and their name for themselves is ""Khon Thai,"" meaning ""the free people."" The terms ""Siam"" and ""Siamese"" were used mainly by Westerners; ""Siam"" was the official name of the country from about 1825 until 1930.",1,"13.5,102.0","","2013-07-08 13:33:05.277155","2013-07-08 13:33:05.278834",1
23,"Chukchee","RY02","Northeast Asia","Eastern Siberia, Russia","Reindeer herders.

The Chukchee are native to the Chukchi Autonomous Okrug formed in 1930 in the Magaden Oblast of Russia. They also live in the Lower Kolyma District of the Yakut Republic and in the north of the Koryak Autonomous Okrug.

The Chukchee language is related to the Chukchee-Kamchatka Family, found primarily in the extreme northeast of the former USSR. The Chukchee-Kamchatka Family also includes Koryak, Itelmen, and other languages",1,"66.0,151.0","","2013-07-08 13:33:05.376609","2013-07-08 13:33:05.378332",1
24,"Eastern Toraja","OG11","Southeast Asia","Celebes, Indonesia","The Eastern Toraja are primarily dry rice cultivators. Wet rice was introduced by the Dutch after 1905, but did not become a significant crop. Maize is the second most important crop, but it is eaten only when the rice supply is low. Coix agrestis, millet, and a variety of fruits and vegetables are also cultivated. All of these crops are produced by means of swidden agriculture. Hunting and fishing (especially around Lake Poso) are also of economic importance.",1,"-2.0,121.0","","2013-07-08 13:33:05.732496","2013-07-08 13:33:05.734123",1
25,"Garo","AR05","South Asia","Garo Hills, Meghalaya, India","The Garos living in the East and West Garo Hills districts of Meghalaya in northeastern India speak the Garo dialect. They are one of the best known matrilineal groups in India. Here the Garos are not the only aboriginal tribe--they are the MAJOR aboriginal tribe",1,"25.5,90.0","","2013-07-08 13:33:05.797835","2013-07-08 13:33:05.799372",1
26,"Iban","OC06","Southeast Asia","Malaysia","",1,"1.0,114.0","","2013-07-08 13:33:05.871551","2013-07-08 13:33:05.873095",1
27,"Ifugao","OA19","Southeast Asia","Philippines","",1,"17.0,121.0","","2013-07-08 13:33:05.924207","2013-07-08 13:33:05.925721",1
28,"Korea","AA01","East Asia","Korea","",1,"38.0,128.0","","2013-07-08 13:33:05.950477","2013-07-08 13:33:05.952076",1
29,"Koryaks","RY04","North Asia","Russia","The Koryaks are the main aboriginal population of the Koryak Autonomous District (okrug, the center of which is Palana), a part of Kamchatka Oblast in Russia. A small number of Koryaks live in the Chukotsk Autonomous District and North-Evenk Territory: both are parts of the Magadan Province of Russia. In the past Koryaks did not have a general name for themselves. They are divided into two groups distinguished by economic activity: Chavchuvens (nomadic reindeer herders) and Nymylan (settled fishermen and sea hunters). The largest tribal groups of Koryaks are Al'utor (inhabiting the area of Korfa Bay, east coast of Kamchatka), the Palan (west coast of Kamchatka), and the Karagin (Litke Strait, east coast of Kamchatka).

The territory occupied by the Koryaks stretches from the Gizhiga River to the east, including the basins of the Paren' and Penzhina rivers (both of which flow into the Sea of Okhotsk), up to the coast of the Bering Sea (the area of Cape Navarin). In the south Koryaks are spread across Kamchatka to the middle of the peninsula, where the administrative boundary of Koryak Autonomous District lies. The modern neighbors of the Koryaks are Yukagir, Even, Kerek, and Chukchee to the west and north and Itelmen to the south. The environment is tundra, plateau, and, on Kamchatka, mountainous. The climate is oceanic on Kamchatka, and continental in the mainland areas in the north and northwest, where the average annual temperature is below 0 degrees Celsius.",0,"59.0,160.0","","2013-07-08 13:33:06.252790","2013-07-08 13:33:06.254558",1
30,"Lepcha","AK05","South Asia","Bhutan","",0,"27.5,88.5","","2013-07-08 13:33:06.287389","2013-07-08 13:33:06.289050",1
31,"Okinawans","AC07","East Asia","Japan","The Okinawans inhabit the Ryukyu Archipelago, a chain of 170 islands, stretching in a 1200-kilometer arc from Kyushu, Japan to Taiwan. The islands range in form from large volcanic islands to small flat coral reefs. Warmed by the northward flowing Black Current (Kuroshiwo), the climate is subtropical and humid. The islands are subject to torrential rains and frequent typhoons. Amami Oshima Island is one of the wettest with an average annual rainfall of 3086 mm., the heaviest rainfall occurring from March to June. Okinawa is the largest island, 135 km long and 28 km wide. The island of Okinawa and all islands south comprise Okinawa Prefecture and those north of Okinawa are part of Kagoshima Prefecture.",0,"26.0,128.0","","2013-07-08 13:33:06.480499","2013-07-08 13:33:06.482040",1
32,"Pashtun","AU04","Central Asia","Afghanistan","",0,"32.5,67.5","","2013-07-08 13:33:06.559085","2013-07-08 13:33:06.560626",1
33,"Rungus Dusun","OC13","Southeast Asia","Malaysia","",0,"6.5,116.5","","2013-07-08 13:33:06.602447","2013-07-08 13:33:06.604144",1
34,"Santal","AW42","South Asia","India","",1,"23.0,85.5","","2013-07-08 13:33:06.642046","2013-07-08 13:33:06.662173",1
35,"Sinhalese","AX04","South Asia","Sri Lanka","",1,"8.0,80.0","","2013-07-08 13:33:06.732990","2013-07-08 13:33:06.734610",1
36,"Southern Toraja","OG13","Southeast Asia","Southeast Indonesia","",0,"-3.0,122.5","","2013-07-08 13:33:06.750009","2013-07-08 13:33:06.751577",1
37,"Taiwan Hokkien","AD05","East Asia","Taiwan","",1,"24.0,121.0","","2013-07-08 13:33:06.766520","2013-07-08 13:33:06.768187",1
38,"Yakut","RV02","North Asia","Russia","",1,"63.0,130.0","","2013-07-08 13:33:07.023964","2013-07-08 13:33:07.025544",1
39,"Basques","EX08","Southern Europe","French-Spanish border","",0,"42.0,-1.5","","2013-07-08 13:33:07.052862","2013-07-08 13:33:07.054498",1
40,"Greeks","EH01","Southern Europe","Greece","",0,"38.0,23.5","","2013-07-08 13:33:07.100938","2013-07-08 13:33:07.102539",1
41,"Highland Scots","ES10","Western Europe","UK","",1,"56.0,-5.0","","2013-07-08 13:33:07.118350","2013-07-08 13:33:07.119920",1
42,"Montenegrins","EF05","Southern Europe","Serbia and Montenegro","",0,"43.0,19.0","","2013-07-08 13:33:07.143628","2013-07-08 13:33:07.145347",1
43,"Saami","EP04","Europe--Scandinavia  ","Finland","",1,"64.5,25.0","","2013-07-08 13:33:07.188072","2013-07-08 13:33:07.189753",1
44,"Serbs","EF06","Southern Europe","Serbia and Montenegro","",1,"43.5,21.5","","2013-07-08 13:33:07.250864","2013-07-08 13:33:07.252409",1
45,"Dominicans","ST04","Middle American, Carribbean","Caribbean Sea","Dominican society is organized strongly on the basis of class and race. Dominicans of the more powerful classes, who control the economic and political processes of the country, have historically been of European ancestry. The poorest of Dominicans are most often Black, descendants of the original African slave population or migrant workers from Haiti. Mulattoes make up the majority of the Dominican population and have created a burgeoning middle class. In the twentieth century the military and lower levels of government have provided avenues of advancement for darker-skinned men, and some have reached the level of general, and even president (i.e., Trujillo).",0,"19.0,-70.5","","2013-07-08 13:33:07.282027","2013-07-08 13:33:07.283562",1
46,"Kuna","SB05","Middle American, Carribbean","Panama","",1,"9.5,-79.0","","2013-07-08 13:33:07.307594","2013-07-08 13:33:07.309211",1
47,"Maya","NV10","North America","Mexico","",0,"20.0,-89.0","","2013-07-08 13:33:07.346913","2013-07-08 13:33:07.348452",1
48,"Tarahumara","NU33","Middle American, Carribbean","Mexico","",1,"28.0,-107.0","","2013-07-08 13:33:07.437009","2013-07-08 13:33:07.438640",1
49,"Tzeltal","NV09","Middle American, Carribbean","Mexico","",1,"16.5,-92.5","","2013-07-08 13:33:07.548567","2013-07-08 13:33:07.550316",1
50,"Kurds","MA11","Eurasia","Armenia","",1,"37.0,44.0","","2013-07-08 13:33:07.575987","2013-07-08 13:33:07.577851",1
51,"Palestinians","MO13","Middle East","Gaza Strip","",0,"31.5,35.0","","2013-07-08 13:33:07.593449","2013-07-08 13:33:07.595000",1
52,"Assiniboine","NF04","North America","Montana and Saskatchewan","Buffalo hunters.  Autonomous bands (the largest political unit) organized Assiniboine society, each having its own preferred territory (Denig 1930: 430-431).",0,"47.0,-110.0","","2013-07-08 13:33:07.610424","2013-07-08 13:33:07.612125",1
53,"Basque Americans","NO18","North America","United States","Basque Americans are an ethnic minority. There are small numbers of Basques in British Columbia, Quebec, and the eastern seaboard in Canada and Basques are present in every state of the United States and are concentrated in California, Idaho, and Nevada. Basques are particularly noted for an identification with sheepherding and are therefore present to some degree in the open-range livestock districts of all thirteen states of the American West.",0,"None,None","","2013-07-08 13:33:07.738450","2013-07-08 13:33:07.740198",1
54,"Blackfoot","NF06","North America","Alberta, Montana","Traditionally, the Blackfoot were hunter-gatherers who depended largely on bison hunting. On the reserves today, the Blackfoot depend on ranching, farming, wage labor, and welfare.

The Yuki lived in northern Mendocino County California and spoke a language, Yukian, that has no known relationship to other languages. The Yuki include the Coast Yuki, Yuki, and Huchnom. In the 1990s there were about 100 Yukis around Round Valley, California. The Yuki used to practice hunting, gathering, and fishing and the Round Valley supported a relatively dense population on the rich wild resources. However, the Round Valley land was much desired by European-American settlers and the Yuki were displaced and killed to free up the land.",1,"55.0,-115.0","","2013-07-08 13:33:07.753879","2013-07-08 13:33:07.755479",1
55,"Chicanos","NO07","North America","United States","Chicanos and Chicanas are a diverse group of people of Mexican heritage who were born in the United States. Many Mexican immigrants, especially children educated in the United States, also identify with the term. There are, however, many from both populations who refuse to identify as Chicano. Most Chicanos speak English but consider Spanish their mother tongue. While historically Chicanos are associated with the Southwest and California, Chicanos have spread recently into other regions of the United States. The population of Chicanos in 2000 was over 20 million. The population is becoming more urban.",0,"None,None","","2013-07-08 13:33:07.973440","2013-07-08 13:33:07.975126",1
56,"Chipewyan","ND07","North America-Arctic and subarctic","Canadian Subarctic","The Chipewyan inhabit the central Canadian Subarctic, in an immense but sparsely settled territory. In aboriginal times the Chipewyan were nomadic and subsisted primarily on caribou hunting. By the 1960s settlement patterns were becoming more permanent and wage labor and commercial hunting and fishing were becoming more important economically.",0,"53.0,-102.0","","2013-07-08 13:33:08.012831","2013-07-08 13:33:08.014529",1
57,"Copper Inuit","ND08","North America-Arctic and subarctic","Victoria Island and environs","The people of the Canadian Arctic most often referred to as Copper Inuit had no name for themselves as a total group, but rather referred only to local groups. All names for the entire population are those used by outsiders. 

The Copper Inuit occupied the coastal and adjoining inland regions of much of Victoria Island and the opposite shores of the Canadian Arctic mainland. Some also hunted off the southeastern shores of Banks Island.",1,"69.0,-111.5","","2013-07-08 13:33:08.122410","2013-07-08 13:33:08.124067",1
58,"Delaware","NM07","North America","See comments","By the end of the eighteenth century the name ""Delaware"" had become associated with three groups of native people who originally occupied the valley of the Delaware River. The first Europeans called the various people living along the Delaware River by the collective term ""River Indians."" Years later, when the river was named the Delaware after Sir Thomas West, Lord de la Warr, the first governor of the Virginia colony, the ""River Indians"" became known by the same name. The few remaining speakers of the Delaware language and the descendants of these people who still strongly identify themselves as Delaware live in two ""communities"" in Oklahoma. Like their ancestors, they continue to maintain a dispersed residential pattern, but now the areas between individual households are occupied by other Americans. The concentrations of modern ""Delaware"" can be found in the northeast of Oklahoma in the Bartlesville area, and in the western part of the state around Anadarko. Although these contemporary Delaware appear quite similar to the other Americans around them, many old cultural traits are embedded in their life-styles.",0,"39.0,-75.5","","2013-07-08 13:33:08.246969","2013-07-08 13:33:08.248714",1
59,"Haitian Americans","NK07","North America","United States","",0,"None,None","","2013-07-08 13:33:08.361745","2013-07-08 13:33:08.363342",1
60,"Hopi","NT09","North America","Arizona","",1,"35.5,-110.5","","2013-07-08 13:33:08.388475","2013-07-08 13:33:08.389945",1
61,"Iroquois","NM09","North America","North East Coast","",1,"43.0,-75.0","","2013-07-08 13:33:08.654519","2013-07-08 13:33:08.656158",1
62,"Italian Americans","NO10","North America","United States","",0,"None,None","","2013-07-08 13:33:08.756622","2013-07-08 13:33:08.758066",1
